Timestamp,J16,J20,J33,J26,J8
2023-01-01 00:00:00,14652.002485343577,14256.002485343577,13824.002485343577,9036.002485343577,8892.002485343577
2023-01-01 01:00:00,14652.64367671533,14256.593676715329,13824.593676715329,9036.393676715328,8892.393676715328
2023-01-01 02:00:00,14653.289397842393,14257.239397842392,13825.189397842392,9036.789397842393,8892.789397842393
2023-01-01 03:00:00,14653.916597002226,14257.866597002225,13825.816597002226,9037.216597002225,8893.166597002224
2023-01-01 04:00:00,14654.54390063463,14258.493900634629,13826.39390063463,9037.593900634629,8893.54390063463
2023-01-01 05:00:00,14655.198308177864,14259.098308177863,13826.998308177863,9037.948308177864,8893.948308177864
2023-01-01 06:00:00,14655.852421142563,14259.752421142563,13827.602421142563,9038.352421142563,8894.352421142563
2023-01-01 07:00:00,14656.498512098291,14260.348512098291,13828.198512098292,9038.748512098291,8894.698512098292
2023-01-01 08:00:00,14657.104650384135,14261.004650384135,13828.804650384136,9039.154650384135,8895.104650384135
2023-01-01 09:00:00,14657.726812381938,14261.576812381938,13829.376812381939,9039.526812381939,8895.476812381938
2023-01-01 10:00:00,14658.39134613721,14262.19134613721,13829.991346137209,9039.94134613721,8895.891346137209
2023-01-01 11:00:00,14659.046131063698,14262.846131063698,13830.596131063698,9040.346131063698,8896.246131063697
2023-01-01 12:00:00,14659.66334131477,14263.46334131477,13831.263341314769,9040.71334131477,8896.663341314768
2023-01-01 13:00:00,14660.329496231929,14264.129496231928,13831.879496231928,9041.129496231928,8897.079496231929
2023-01-01 14:00:00,14660.93370266279,14264.68370266279,13832.43370266279,9041.48370266279,8897.43370266279
2023-01-01 15:00:00,14661.61198064269,14265.36198064269,13833.061980642691,9041.91198064269,8897.811980642691
2023-01-01 16:00:00,14662.245885984346,14265.945885984347,13833.645885984348,9042.295885984347,8898.195885984347
2023-01-01 17:00:00,14662.830799018971,14266.530799018972,13834.230799018971,9042.680799018972,8898.580799018971
2023-01-01 18:00:00,14663.492405684845,14267.192405684846,13834.842405684845,9043.092405684845,8898.992405684845
2023-01-01 19:00:00,14664.158993334437,14267.808993334436,13835.458993334436,9043.458993334436,8899.358993334436
2023-01-01 20:00:00,14664.820731629716,14268.470731629715,13836.070731629716,9043.870731629715,8899.770731629715
2023-01-01 21:00:00,14665.389991766786,14269.039991766786,13836.639991766786,9044.239991766784,8900.139991766784
2023-01-01 22:00:00,14666.071244533017,14269.671244533018,13837.271244533016,9044.671244533016,8900.571244533017
2023-01-01 23:00:00,14666.703553908645,14270.303553908645,13837.853553908644,9045.053553908645,8900.903553908644
2023-01-02 00:00:00,14667.28112598567,14270.88112598567,13838.43112598567,9045.43112598567,8901.28112598567
2023-01-02 01:00:00,14667.968853066524,14271.518853066524,13839.068853066525,9045.868853066524,8901.718853066524
2023-01-02 02:00:00,14668.599813216972,14272.149813216973,13839.649813216973,9046.199813216972,8902.099813216972
2023-01-02 03:00:00,14669.24687069199,14272.74687069199,13840.24687069199,9046.59687069199,8902.44687069199
2023-01-02 04:00:00,14669.8422867652,14273.392286765202,13840.8422867652,9046.9922867652,8902.8422867652
2023-01-02 05:00:00,14670.5161930542,14274.0161930542,13841.416193054201,9047.4161930542,8903.2661930542
2023-01-02 06:00:00,14671.14892714285,14274.59892714285,13841.99892714285,9047.79892714285,8903.59892714285
2023-01-02 07:00:00,14671.769238788456,14275.269238788456,13842.619238788457,9048.169238788456,8904.019238788456
2023-01-02 08:00:00,14672.413741041997,14275.863741041996,13843.213741041996,9048.563741041997,8904.413741041995
2023-01-02 09:00:00,14673.047659982692,14276.447659982692,13843.797659982692,9048.947659982692,8904.797659982692
2023-01-02 10:00:00,14673.650304986386,14277.100304986385,13844.400304986386,9049.350304986385,8905.150304986384
2023-01-02 11:00:00,14674.288586475655,14277.688586475655,13844.988586475654,9049.738586475654,8905.538586475655
2023-01-02 12:00:00,14674.930899022733,14278.280899022733,13845.580899022732,9050.080899022732,8905.930899022733
2023-01-02 13:00:00,14675.56849939582,14278.91849939582,13846.21849939582,9050.51849939582,8906.31849939582
2023-01-02 14:00:00,14676.191770303554,14279.541770303555,13846.791770303555,9050.891770303553,8906.691770303554
2023-01-02 15:00:00,14676.85639183969,14280.156391839691,13847.406391839691,9051.306391839691,8907.10639183969
2023-01-02 16:00:00,14677.43429023714,14280.73429023714,13847.98429023714,9051.63429023714,8907.43429023714
2023-01-02 17:00:00,14678.08937055928,14281.33937055928,13848.539370559281,9052.039370559281,8907.83937055928
2023-01-02 18:00:00,14678.689538717106,14281.989538717105,13849.139538717107,9052.439538717106,8908.239538717105
2023-01-02 19:00:00,14679.349705119232,14282.599705119232,13849.749705119231,9052.849705119232,8908.599705119232
2023-01-02 20:00:00,14679.949239671976,14283.199239671976,13850.349239671976,9053.199239671976,8908.999239671975
2023-01-02 21:00:00,14680.6097121071,14283.8097121071,13850.9597121071,9053.6097121071,8909.3597121071
2023-01-02 22:00:00,14681.248646178186,14284.448646178187,13851.548646178187,9053.998646178186,8909.748646178186
2023-01-02 23:00:00,14681.84890460733,14285.04890460733,13852.09890460733,9054.39890460733,8910.14890460733
2023-01-03 00:00:00,14682.517658698564,14285.667658698565,13852.717658698564,9054.767658698564,8910.517658698564
2023-01-03 01:00:00,14683.091222499983,14286.241222499983,13853.291222499984,9055.141222499982,8910.891222499982
2023-01-03 02:00:00,14683.761577434023,14286.861577434023,13853.911577434024,9055.561577434024,8911.261577434023
2023-01-03 03:00:00,14684.343552489314,14287.443552489314,13854.443552489314,9055.893552489313,8911.643552489313
2023-01-03 04:00:00,14684.996259469683,14288.096259469683,13855.046259469684,9056.296259469684,8912.046259469684
2023-01-03 05:00:00,14685.59430037998,14288.69430037998,13855.644300379981,9056.69430037998,8912.39430037998
2023-01-03 06:00:00,14686.193542561396,14289.293542561396,13856.243542561395,9057.043542561396,8912.793542561396
2023-01-03 07:00:00,14686.849045023091,14289.899045023092,13856.799045023092,9057.449045023091,8913.14904502309
2023-01-03 08:00:00,14687.429478864715,14290.479478864714,13857.379478864716,9057.829478864714,8913.529478864715
2023-01-03 09:00:00,14688.112452691876,14291.112452691876,13858.012452691875,9058.212452691876,8913.912452691875
2023-01-03 10:00:00,14688.687024506331,14291.687024506331,13858.537024506331,9058.58702450633,8914.287024506331
2023-01-03 11:00:00,14689.333016499444,14292.283016499445,13859.133016499445,9058.983016499444,8914.633016499443
